units,dtdate,date,mon,yr
,08JAN2004:10:00:00,08JAN2004,1,2004
2291,08JAN2004:11:00:00,08JAN2004,1,2004
,08JAN2004:12:00:00,08JAN2004,1,2004
,08JAN2004:13:00:00,08JAN2004,1,2004
2035,08JAN2004:14:00:00,08JAN2004,1,2004
,08JAN2004:15:00:00,08JAN2004,1,2004
,08JAN2004:16:00:00,08JAN2004,1,2004
,08JAN2004:17:00:00,08JAN2004,1,2004
,08JAN2004:18:00:00,08JAN2004,1,2004
,08JAN2004:19:00:00,08JAN2004,1,2004
105,08JAN2004:20:00:00,08JAN2004,1,2004
,09JAN2004:08:00:00,09JAN2004,1,2004
,09JAN2004:09:00:00,09JAN2004,1,2004
2370,09JAN2004:10:00:00,09JAN2004,1,2004
,09JAN2004:11:00:00,09JAN2004,1,2004
,09JAN2004:12:00:00,09JAN2004,1,2004
,09JAN2004:13:00:00,09JAN2004,1,2004
,09JAN2004:14:00:00,09JAN2004,1,2004
,09JAN2004:15:00:00,09JAN2004,1,2004
,09JAN2004:16:00:00,09JAN2004,1,2004
,09JAN2004:17:00:00,09JAN2004,1,2004
,09JAN2004:18:00:00,09JAN2004,1,2004
,09JAN2004:19:00:00,09JAN2004,1,2004
,09JAN2004:20:00:00,09JAN2004,1,2004
,12JAN2004:08:00:00,12JAN2004,1,2004
,12JAN2004:09:00:00,12JAN2004,1,2004
,12JAN2004:10:00:00,12JAN2004,1,2004
,12JAN2004:11:00:00,12JAN2004,1,2004
,12JAN2004:12:00:00,12JAN2004,1,2004
,12JAN2004:13:00:00,12JAN2004,1,2004
,12JAN2004:14:00:00,12JAN2004,1,2004
,12JAN2004:15:00:00,12JAN2004,1,2004
,12JAN2004:16:00:00,12JAN2004,1,2004
,12JAN2004:17:00:00,12JAN2004,1,2004
,12JAN2004:18:00:00,12JAN2004,1,2004
,12JAN2004:19:00:00,12JAN2004,1,2004
,12JAN2004:20:00:00,12JAN2004,1,2004
,13JAN2004:08:00:00,13JAN2004,1,2004
,13JAN2004:09:00:00,13JAN2004,1,2004
,13JAN2004:10:00:00,13JAN2004,1,2004
,13JAN2004:11:00:00,13JAN2004,1,2004
,13JAN2004:12:00:00,13JAN2004,1,2004
1997,13JAN2004:13:00:00,13JAN2004,1,2004
,13JAN2004:14:00:00,13JAN2004,1,2004
,13JAN2004:15:00:00,13JAN2004,1,2004
,13JAN2004:16:00:00,13JAN2004,1,2004
,13JAN2004:17:00:00,13JAN2004,1,2004
,13JAN2004:18:00:00,13JAN2004,1,2004
,13JAN2004:19:00:00,13JAN2004,1,2004
,13JAN2004:20:00:00,13JAN2004,1,2004
,14JAN2004:08:00:00,14JAN2004,1,2004
,14JAN2004:09:00:00,14JAN2004,1,2004
,14JAN2004:10:00:00,14JAN2004,1,2004
,14JAN2004:11:00:00,14JAN2004,1,2004
,14JAN2004:12:00:00,14JAN2004,1,2004
,14JAN2004:13:00:00,14JAN2004,1,2004
1789,14JAN2004:14:00:00,14JAN2004,1,2004
,14JAN2004:15:00:00,14JAN2004,1,2004
,14JAN2004:16:00:00,14JAN2004,1,2004
,14JAN2004:17:00:00,14JAN2004,1,2004
,14JAN2004:18:00:00,14JAN2004,1,2004
,14JAN2004:19:00:00,14JAN2004,1,2004
,14JAN2004:20:00:00,14JAN2004,1,2004
,15JAN2004:08:00:00,15JAN2004,1,2004
,15JAN2004:09:00:00,15JAN2004,1,2004
,15JAN2004:10:00:00,15JAN2004,1,2004
,15JAN2004:11:00:00,15JAN2004,1,2004
,15JAN2004:12:00:00,15JAN2004,1,2004
1842,15JAN2004:13:00:00,15JAN2004,1,2004
1922,15JAN2004:14:00:00,15JAN2004,1,2004
,15JAN2004:15:00:00,15JAN2004,1,2004
,15JAN2004:16:00:00,15JAN2004,1,2004
,15JAN2004:17:00:00,15JAN2004,1,2004
,15JAN2004:18:00:00,15JAN2004,1,2004
,15JAN2004:19:00:00,15JAN2004,1,2004
,15JAN2004:20:00:00,15JAN2004,1,2004
,16JAN2004:08:00:00,16JAN2004,1,2004
,16JAN2004:09:00:00,16JAN2004,1,2004
,16JAN2004:10:00:00,16JAN2004,1,2004
,16JAN2004:11:00:00,16JAN2004,1,2004
,16JAN2004:12:00:00,16JAN2004,1,2004
,16JAN2004:13:00:00,16JAN2004,1,2004
,16JAN2004:14:00:00,16JAN2004,1,2004
,16JAN2004:15:00:00,16JAN2004,1,2004
,16JAN2004:16:00:00,16JAN2004,1,2004
1559,16JAN2004:17:00:00,16JAN2004,1,2004
,16JAN2004:18:00:00,16JAN2004,1,2004
,16JAN2004:19:00:00,16JAN2004,1,2004
,16JAN2004:20:00:00,16JAN2004,1,2004
,19JAN2004:08:00:00,19JAN2004,1,2004
,19JAN2004:09:00:00,19JAN2004,1,2004
,19JAN2004:10:00:00,19JAN2004,1,2004
,19JAN2004:11:00:00,19JAN2004,1,2004
,19JAN2004:12:00:00,19JAN2004,1,2004
,19JAN2004:13:00:00,19JAN2004,1,2004
,19JAN2004:14:00:00,19JAN2004,1,2004
,19JAN2004:15:00:00,19JAN2004,1,2004
,19JAN2004:16:00:00,19JAN2004,1,2004
,19JAN2004:17:00:00,19JAN2004,1,2004
,19JAN2004:18:00:00,19JAN2004,1,2004
,19JAN2004:19:00:00,19JAN2004,1,2004
290,19JAN2004:20:00:00,19JAN2004,1,2004
336,20JAN2004:08:00:00,20JAN2004,1,2004
1482,20JAN2004:09:00:00,20JAN2004,1,2004
,20JAN2004:10:00:00,20JAN2004,1,2004
,20JAN2004:11:00:00,20JAN2004,1,2004
,20JAN2004:12:00:00,20JAN2004,1,2004
,20JAN2004:13:00:00,20JAN2004,1,2004
,20JAN2004:14:00:00,20JAN2004,1,2004
,20JAN2004:15:00:00,20JAN2004,1,2004
1529,20JAN2004:16:00:00,20JAN2004,1,2004
,20JAN2004:17:00:00,20JAN2004,1,2004
,20JAN2004:18:00:00,20JAN2004,1,2004
,20JAN2004:19:00:00,20JAN2004,1,2004
,20JAN2004:20:00:00,20JAN2004,1,2004
,21JAN2004:08:00:00,21JAN2004,1,2004
,21JAN2004:09:00:00,21JAN2004,1,2004
,21JAN2004:10:00:00,21JAN2004,1,2004
,21JAN2004:11:00:00,21JAN2004,1,2004
,21JAN2004:12:00:00,21JAN2004,1,2004
,21JAN2004:13:00:00,21JAN2004,1,2004
,21JAN2004:14:00:00,21JAN2004,1,2004
,21JAN2004:15:00:00,21JAN2004,1,2004
,21JAN2004:16:00:00,21JAN2004,1,2004
1101,21JAN2004:17:00:00,21JAN2004,1,2004
,21JAN2004:18:00:00,21JAN2004,1,2004
,21JAN2004:19:00:00,21JAN2004,1,2004
,21JAN2004:20:00:00,21JAN2004,1,2004
,22JAN2004:08:00:00,22JAN2004,1,2004
,22JAN2004:09:00:00,22JAN2004,1,2004
,22JAN2004:10:00:00,22JAN2004,1,2004
,22JAN2004:11:00:00,22JAN2004,1,2004
1581,22JAN2004:12:00:00,22JAN2004,1,2004
,22JAN2004:13:00:00,22JAN2004,1,2004
,22JAN2004:14:00:00,22JAN2004,1,2004
,22JAN2004:15:00:00,22JAN2004,1,2004
,22JAN2004:16:00:00,22JAN2004,1,2004
,22JAN2004:17:00:00,22JAN2004,1,2004
,22JAN2004:18:00:00,22JAN2004,1,2004
,22JAN2004:19:00:00,22JAN2004,1,2004
101,22JAN2004:20:00:00,22JAN2004,1,2004
,23JAN2004:08:00:00,23JAN2004,1,2004
,23JAN2004:09:00:00,23JAN2004,1,2004
,23JAN2004:10:00:00,23JAN2004,1,2004
,23JAN2004:11:00:00,23JAN2004,1,2004
,23JAN2004:12:00:00,23JAN2004,1,2004
,23JAN2004:13:00:00,23JAN2004,1,2004
,23JAN2004:14:00:00,23JAN2004,1,2004
,23JAN2004:15:00:00,23JAN2004,1,2004
,23JAN2004:16:00:00,23JAN2004,1,2004
,23JAN2004:17:00:00,23JAN2004,1,2004
,23JAN2004:18:00:00,23JAN2004,1,2004
,23JAN2004:19:00:00,23JAN2004,1,2004
,23JAN2004:20:00:00,23JAN2004,1,2004
,26JAN2004:08:00:00,26JAN2004,1,2004
,26JAN2004:09:00:00,26JAN2004,1,2004
,26JAN2004:10:00:00,26JAN2004,1,2004
,26JAN2004:11:00:00,26JAN2004,1,2004
,26JAN2004:12:00:00,26JAN2004,1,2004
,26JAN2004:13:00:00,26JAN2004,1,2004
,26JAN2004:14:00:00,26JAN2004,1,2004
,26JAN2004:15:00:00,26JAN2004,1,2004
1953,26JAN2004:16:00:00,26JAN2004,1,2004
,26JAN2004:17:00:00,26JAN2004,1,2004
1259,26JAN2004:18:00:00,26JAN2004,1,2004
,26JAN2004:19:00:00,26JAN2004,1,2004
,26JAN2004:20:00:00,26JAN2004,1,2004
,27JAN2004:08:00:00,27JAN2004,1,2004
,27JAN2004:09:00:00,27JAN2004,1,2004
,27JAN2004:10:00:00,27JAN2004,1,2004
2305,27JAN2004:11:00:00,27JAN2004,1,2004
,27JAN2004:12:00:00,27JAN2004,1,2004
,27JAN2004:13:00:00,27JAN2004,1,2004
,27JAN2004:14:00:00,27JAN2004,1,2004
,27JAN2004:15:00:00,27JAN2004,1,2004
,27JAN2004:16:00:00,27JAN2004,1,2004
,27JAN2004:17:00:00,27JAN2004,1,2004
,27JAN2004:18:00:00,27JAN2004,1,2004
,27JAN2004:19:00:00,27JAN2004,1,2004
,27JAN2004:20:00:00,27JAN2004,1,2004
487,28JAN2004:08:00:00,28JAN2004,1,2004
,28JAN2004:09:00:00,28JAN2004,1,2004
,28JAN2004:10:00:00,28JAN2004,1,2004
,28JAN2004:11:00:00,28JAN2004,1,2004
,28JAN2004:12:00:00,28JAN2004,1,2004
,28JAN2004:13:00:00,28JAN2004,1,2004
,28JAN2004:14:00:00,28JAN2004,1,2004
,28JAN2004:15:00:00,28JAN2004,1,2004
,28JAN2004:16:00:00,28JAN2004,1,2004
,28JAN2004:17:00:00,28JAN2004,1,2004
,28JAN2004:18:00:00,28JAN2004,1,2004
210,28JAN2004:19:00:00,28JAN2004,1,2004
,28JAN2004:20:00:00,28JAN2004,1,2004
,29JAN2004:08:00:00,29JAN2004,1,2004
,29JAN2004:09:00:00,29JAN2004,1,2004
1656,29JAN2004:10:00:00,29JAN2004,1,2004
,29JAN2004:11:00:00,29JAN2004,1,2004
,29JAN2004:12:00:00,29JAN2004,1,2004
,29JAN2004:13:00:00,29JAN2004,1,2004
,29JAN2004:14:00:00,29JAN2004,1,2004
1918,29JAN2004:15:00:00,29JAN2004,1,2004
,29JAN2004:16:00:00,29JAN2004,1,2004
,29JAN2004:17:00:00,29JAN2004,1,2004
,29JAN2004:18:00:00,29JAN2004,1,2004
,29JAN2004:19:00:00,29JAN2004,1,2004
,29JAN2004:20:00:00,29JAN2004,1,2004
,30JAN2004:08:00:00,30JAN2004,1,2004
,30JAN2004:09:00:00,30JAN2004,1,2004
,30JAN2004:10:00:00,30JAN2004,1,2004
2657,30JAN2004:11:00:00,30JAN2004,1,2004
,30JAN2004:12:00:00,30JAN2004,1,2004
2149,30JAN2004:13:00:00,30JAN2004,1,2004
2195,30JAN2004:14:00:00,30JAN2004,1,2004
2426,30JAN2004:15:00:00,30JAN2004,1,2004
,30JAN2004:16:00:00,30JAN2004,1,2004
,30JAN2004:17:00:00,30JAN2004,1,2004
,30JAN2004:18:00:00,30JAN2004,1,2004
565,30JAN2004:19:00:00,30JAN2004,1,2004
,30JAN2004:20:00:00,30JAN2004,1,2004
,02FEB2004:08:00:00,02FEB2004,2,2004
,02FEB2004:09:00:00,02FEB2004,2,2004
,02FEB2004:10:00:00,02FEB2004,2,2004
,02FEB2004:11:00:00,02FEB2004,2,2004
,02FEB2004:12:00:00,02FEB2004,2,2004
2337,02FEB2004:13:00:00,02FEB2004,2,2004
2429,02FEB2004:14:00:00,02FEB2004,2,2004
,02FEB2004:15:00:00,02FEB2004,2,2004
,02FEB2004:16:00:00,02FEB2004,2,2004
,02FEB2004:17:00:00,02FEB2004,2,2004
,02FEB2004:18:00:00,02FEB2004,2,2004
,02FEB2004:19:00:00,02FEB2004,2,2004
,02FEB2004:20:00:00,02FEB2004,2,2004
,03FEB2004:08:00:00,03FEB2004,2,2004
,03FEB2004:09:00:00,03FEB2004,2,2004
,03FEB2004:10:00:00,03FEB2004,2,2004
,03FEB2004:11:00:00,03FEB2004,2,2004
,03FEB2004:12:00:00,03FEB2004,2,2004
,03FEB2004:13:00:00,03FEB2004,2,2004
,03FEB2004:14:00:00,03FEB2004,2,2004
,03FEB2004:15:00:00,03FEB2004,2,2004
,03FEB2004:16:00:00,03FEB2004,2,2004
,03FEB2004:17:00:00,03FEB2004,2,2004
,03FEB2004:18:00:00,03FEB2004,2,2004
243,03FEB2004:19:00:00,03FEB2004,2,2004
,03FEB2004:20:00:00,03FEB2004,2,2004
,04FEB2004:08:00:00,04FEB2004,2,2004
,04FEB2004:09:00:00,04FEB2004,2,2004
,04FEB2004:10:00:00,04FEB2004,2,2004
,04FEB2004:11:00:00,04FEB2004,2,2004
1356,04FEB2004:12:00:00,04FEB2004,2,2004
,04FEB2004:13:00:00,04FEB2004,2,2004
1711,04FEB2004:14:00:00,04FEB2004,2,2004
,04FEB2004:15:00:00,04FEB2004,2,2004
1309,04FEB2004:16:00:00,04FEB2004,2,2004
,04FEB2004:17:00:00,04FEB2004,2,2004
,04FEB2004:18:00:00,04FEB2004,2,2004
,04FEB2004:19:00:00,04FEB2004,2,2004
,04FEB2004:20:00:00,04FEB2004,2,2004
,05FEB2004:08:00:00,05FEB2004,2,2004
,05FEB2004:09:00:00,05FEB2004,2,2004
,05FEB2004:10:00:00,05FEB2004,2,2004
,05FEB2004:11:00:00,05FEB2004,2,2004
,05FEB2004:12:00:00,05FEB2004,2,2004
,05FEB2004:13:00:00,05FEB2004,2,2004
,05FEB2004:14:00:00,05FEB2004,2,2004
,05FEB2004:15:00:00,05FEB2004,2,2004
,05FEB2004:16:00:00,05FEB2004,2,2004
1142,05FEB2004:17:00:00,05FEB2004,2,2004
864,05FEB2004:18:00:00,05FEB2004,2,2004
307,05FEB2004:19:00:00,05FEB2004,2,2004
,05FEB2004:20:00:00,05FEB2004,2,2004
,06FEB2004:08:00:00,06FEB2004,2,2004
,06FEB2004:09:00:00,06FEB2004,2,2004
,06FEB2004:10:00:00,06FEB2004,2,2004
,06FEB2004:11:00:00,06FEB2004,2,2004
,06FEB2004:12:00:00,06FEB2004,2,2004
,06FEB2004:13:00:00,06FEB2004,2,2004
,06FEB2004:14:00:00,06FEB2004,2,2004
2446,06FEB2004:15:00:00,06FEB2004,2,2004
,06FEB2004:16:00:00,06FEB2004,2,2004
1516,06FEB2004:17:00:00,06FEB2004,2,2004
,06FEB2004:18:00:00,06FEB2004,2,2004
,06FEB2004:19:00:00,06FEB2004,2,2004
,06FEB2004:20:00:00,06FEB2004,2,2004
,09FEB2004:08:00:00,09FEB2004,2,2004
,09FEB2004:09:00:00,09FEB2004,2,2004
,09FEB2004:10:00:00,09FEB2004,2,2004
2902,09FEB2004:11:00:00,09FEB2004,2,2004
,09FEB2004:12:00:00,09FEB2004,2,2004
,09FEB2004:13:00:00,09FEB2004,2,2004
,09FEB2004:14:00:00,09FEB2004,2,2004
,09FEB2004:15:00:00,09FEB2004,2,2004
,09FEB2004:16:00:00,09FEB2004,2,2004
,09FEB2004:17:00:00,09FEB2004,2,2004
1279,09FEB2004:18:00:00,09FEB2004,2,2004
,09FEB2004:19:00:00,09FEB2004,2,2004
,09FEB2004:20:00:00,09FEB2004,2,2004
,10FEB2004:08:00:00,10FEB2004,2,2004
,10FEB2004:09:00:00,10FEB2004,2,2004
,10FEB2004:10:00:00,10FEB2004,2,2004
,10FEB2004:11:00:00,10FEB2004,2,2004
,10FEB2004:12:00:00,10FEB2004,2,2004
1924,10FEB2004:13:00:00,10FEB2004,2,2004
,10FEB2004:14:00:00,10FEB2004,2,2004
,10FEB2004:15:00:00,10FEB2004,2,2004
1533,10FEB2004:16:00:00,10FEB2004,2,2004
,10FEB2004:17:00:00,10FEB2004,2,2004
,10FEB2004:18:00:00,10FEB2004,2,2004
,10FEB2004:19:00:00,10FEB2004,2,2004
,10FEB2004:20:00:00,10FEB2004,2,2004
502,11FEB2004:08:00:00,11FEB2004,2,2004
,11FEB2004:09:00:00,11FEB2004,2,2004
,11FEB2004:10:00:00,11FEB2004,2,2004
,11FEB2004:11:00:00,11FEB2004,2,2004
,11FEB2004:12:00:00,11FEB2004,2,2004
,11FEB2004:13:00:00,11FEB2004,2,2004
,11FEB2004:14:00:00,11FEB2004,2,2004
,11FEB2004:15:00:00,11FEB2004,2,2004
1334,11FEB2004:16:00:00,11FEB2004,2,2004
,11FEB2004:17:00:00,11FEB2004,2,2004
,11FEB2004:18:00:00,11FEB2004,2,2004
,11FEB2004:19:00:00,11FEB2004,2,2004
,11FEB2004:20:00:00,11FEB2004,2,2004
,12FEB2004:08:00:00,12FEB2004,2,2004
,12FEB2004:09:00:00,12FEB2004,2,2004
,12FEB2004:10:00:00,12FEB2004,2,2004
2126,12FEB2004:11:00:00,12FEB2004,2,2004
,12FEB2004:12:00:00,12FEB2004,2,2004
,12FEB2004:13:00:00,12FEB2004,2,2004
,12FEB2004:14:00:00,12FEB2004,2,2004
1969,12FEB2004:15:00:00,12FEB2004,2,2004
,12FEB2004:16:00:00,12FEB2004,2,2004
,12FEB2004:17:00:00,12FEB2004,2,2004
,12FEB2004:18:00:00,12FEB2004,2,2004
,12FEB2004:19:00:00,12FEB2004,2,2004
110,12FEB2004:20:00:00,12FEB2004,2,2004
,13FEB2004:08:00:00,13FEB2004,2,2004
,13FEB2004:09:00:00,13FEB2004,2,2004
,13FEB2004:10:00:00,13FEB2004,2,2004
2735,13FEB2004:11:00:00,13FEB2004,2,2004
,13FEB2004:12:00:00,13FEB2004,2,2004
,13FEB2004:13:00:00,13FEB2004,2,2004
,13FEB2004:14:00:00,13FEB2004,2,2004
2498,13FEB2004:15:00:00,13FEB2004,2,2004
,13FEB2004:16:00:00,13FEB2004,2,2004
,13FEB2004:17:00:00,13FEB2004,2,2004
,13FEB2004:18:00:00,13FEB2004,2,2004
,13FEB2004:19:00:00,13FEB2004,2,2004
253,13FEB2004:20:00:00,13FEB2004,2,2004
,16FEB2004:08:00:00,16FEB2004,2,2004
,16FEB2004:09:00:00,16FEB2004,2,2004
,16FEB2004:10:00:00,16FEB2004,2,2004
2972,16FEB2004:11:00:00,16FEB2004,2,2004
,16FEB2004:12:00:00,16FEB2004,2,2004
2429,16FEB2004:13:00:00,16FEB2004,2,2004
,16FEB2004:14:00:00,16FEB2004,2,2004
,16FEB2004:15:00:00,16FEB2004,2,2004
,16FEB2004:16:00:00,16FEB2004,2,2004
,16FEB2004:17:00:00,16FEB2004,2,2004
,16FEB2004:18:00:00,16FEB2004,2,2004
,16FEB2004:19:00:00,16FEB2004,2,2004
,16FEB2004:20:00:00,16FEB2004,2,2004
354,17FEB2004:08:00:00,17FEB2004,2,2004
,17FEB2004:09:00:00,17FEB2004,2,2004
,17FEB2004:10:00:00,17FEB2004,2,2004
,17FEB2004:11:00:00,17FEB2004,2,2004
,17FEB2004:12:00:00,17FEB2004,2,2004
,17FEB2004:13:00:00,17FEB2004,2,2004
,17FEB2004:14:00:00,17FEB2004,2,2004
,17FEB2004:15:00:00,17FEB2004,2,2004
1573,17FEB2004:16:00:00,17FEB2004,2,2004
,17FEB2004:17:00:00,17FEB2004,2,2004
755,17FEB2004:18:00:00,17FEB2004,2,2004
,17FEB2004:19:00:00,17FEB2004,2,2004
,17FEB2004:20:00:00,17FEB2004,2,2004
,18FEB2004:08:00:00,18FEB2004,2,2004
,18FEB2004:09:00:00,18FEB2004,2,2004
,18FEB2004:10:00:00,18FEB2004,2,2004
,18FEB2004:11:00:00,18FEB2004,2,2004
,18FEB2004:12:00:00,18FEB2004,2,2004
,18FEB2004:13:00:00,18FEB2004,2,2004
,18FEB2004:14:00:00,18FEB2004,2,2004
,18FEB2004:15:00:00,18FEB2004,2,2004
,18FEB2004:16:00:00,18FEB2004,2,2004
,18FEB2004:17:00:00,18FEB2004,2,2004
,18FEB2004:18:00:00,18FEB2004,2,2004
,18FEB2004:19:00:00,18FEB2004,2,2004
,18FEB2004:20:00:00,18FEB2004,2,2004
,19FEB2004:08:00:00,19FEB2004,2,2004
,19FEB2004:09:00:00,19FEB2004,2,2004
,19FEB2004:10:00:00,19FEB2004,2,2004
,19FEB2004:11:00:00,19FEB2004,2,2004
,19FEB2004:12:00:00,19FEB2004,2,2004
,19FEB2004:13:00:00,19FEB2004,2,2004
,19FEB2004:14:00:00,19FEB2004,2,2004
,19FEB2004:15:00:00,19FEB2004,2,2004
,19FEB2004:16:00:00,19FEB2004,2,2004
,19FEB2004:17:00:00,19FEB2004,2,2004
,19FEB2004:18:00:00,19FEB2004,2,2004
325,19FEB2004:19:00:00,19FEB2004,2,2004
115,19FEB2004:20:00:00,19FEB2004,2,2004
,20FEB2004:08:00:00,20FEB2004,2,2004
1738,20FEB2004:09:00:00,20FEB2004,2,2004
,20FEB2004:10:00:00,20FEB2004,2,2004
,20FEB2004:11:00:00,20FEB2004,2,2004
,20FEB2004:12:00:00,20FEB2004,2,2004
,20FEB2004:13:00:00,20FEB2004,2,2004
,20FEB2004:14:00:00,20FEB2004,2,2004
,20FEB2004:15:00:00,20FEB2004,2,2004
1884,20FEB2004:16:00:00,20FEB2004,2,2004
,20FEB2004:17:00:00,20FEB2004,2,2004
,20FEB2004:18:00:00,20FEB2004,2,2004
,20FEB2004:19:00:00,20FEB2004,2,2004
,20FEB2004:20:00:00,20FEB2004,2,2004
,23FEB2004:08:00:00,23FEB2004,2,2004
,23FEB2004:09:00:00,23FEB2004,2,2004
,23FEB2004:10:00:00,23FEB2004,2,2004
,23FEB2004:11:00:00,23FEB2004,2,2004
2483,23FEB2004:12:00:00,23FEB2004,2,2004
2500,23FEB2004:13:00:00,23FEB2004,2,2004
,23FEB2004:14:00:00,23FEB2004,2,2004
2795,23FEB2004:15:00:00,23FEB2004,2,2004
,23FEB2004:16:00:00,23FEB2004,2,2004
,23FEB2004:17:00:00,23FEB2004,2,2004
,23FEB2004:18:00:00,23FEB2004,2,2004
,23FEB2004:19:00:00,23FEB2004,2,2004
,23FEB2004:20:00:00,23FEB2004,2,2004
,24FEB2004:08:00:00,24FEB2004,2,2004
,24FEB2004:09:00:00,24FEB2004,2,2004
,24FEB2004:10:00:00,24FEB2004,2,2004
,24FEB2004:11:00:00,24FEB2004,2,2004
1883,24FEB2004:12:00:00,24FEB2004,2,2004
,24FEB2004:13:00:00,24FEB2004,2,2004
,24FEB2004:14:00:00,24FEB2004,2,2004
,24FEB2004:15:00:00,24FEB2004,2,2004
,24FEB2004:16:00:00,24FEB2004,2,2004
,24FEB2004:17:00:00,24FEB2004,2,2004
,24FEB2004:18:00:00,24FEB2004,2,2004
,24FEB2004:19:00:00,24FEB2004,2,2004
,24FEB2004:20:00:00,24FEB2004,2,2004
,25FEB2004:08:00:00,25FEB2004,2,2004
,25FEB2004:09:00:00,25FEB2004,2,2004
,25FEB2004:10:00:00,25FEB2004,2,2004
,25FEB2004:11:00:00,25FEB2004,2,2004
,25FEB2004:12:00:00,25FEB2004,2,2004
,25FEB2004:13:00:00,25FEB2004,2,2004
,25FEB2004:14:00:00,25FEB2004,2,2004
,25FEB2004:15:00:00,25FEB2004,2,2004
,25FEB2004:16:00:00,25FEB2004,2,2004
,25FEB2004:17:00:00,25FEB2004,2,2004
1014,25FEB2004:18:00:00,25FEB2004,2,2004
,25FEB2004:19:00:00,25FEB2004,2,2004
,25FEB2004:20:00:00,25FEB2004,2,2004
,26FEB2004:08:00:00,26FEB2004,2,2004
,26FEB2004:09:00:00,26FEB2004,2,2004
,26FEB2004:10:00:00,26FEB2004,2,2004
2248,26FEB2004:11:00:00,26FEB2004,2,2004
,26FEB2004:12:00:00,26FEB2004,2,2004
,26FEB2004:13:00:00,26FEB2004,2,2004
1999,26FEB2004:14:00:00,26FEB2004,2,2004
,26FEB2004:15:00:00,26FEB2004,2,2004
1516,26FEB2004:16:00:00,26FEB2004,2,2004
,26FEB2004:17:00:00,26FEB2004,2,2004
,26FEB2004:18:00:00,26FEB2004,2,2004
,26FEB2004:19:00:00,26FEB2004,2,2004
,26FEB2004:20:00:00,26FEB2004,2,2004
,27FEB2004:08:00:00,27FEB2004,2,2004
1790,27FEB2004:09:00:00,27FEB2004,2,2004
,27FEB2004:10:00:00,27FEB2004,2,2004
,27FEB2004:11:00:00,27FEB2004,2,2004
,27FEB2004:12:00:00,27FEB2004,2,2004
2341,27FEB2004:13:00:00,27FEB2004,2,2004
,27FEB2004:14:00:00,27FEB2004,2,2004
,27FEB2004:15:00:00,27FEB2004,2,2004
,27FEB2004:16:00:00,27FEB2004,2,2004
,27FEB2004:17:00:00,27FEB2004,2,2004
,27FEB2004:18:00:00,27FEB2004,2,2004
,27FEB2004:19:00:00,27FEB2004,2,2004
